Eu estou comendo queijo.	Eu comi o queijo.
Ele pediu-nos para o ajudar.	Ele nos pediu para ajudá-lo.
Já leste o periódico de hoje?	Já terminaste de ler o periódico de hoje?
Você já terminou de ler o jornal de hoje?	Já leste o periódico de hoje?
Já leste o jornal de hoje?	Já leste o periódico de hoje?
Onde está a roupa?	Onde fica a lavanderia?
Se você não se apressar, vai se atrasar para escola.	Se não te apressas, atrasar-te-ás na escola.
Se você não se apressar, vai se atrasar para escola.	Se apresse ou você vai se atrasar para a escola.
Eu não daria dinheiro a ele mesmo se eu fosse rico.	Mesmo se eu fosse rico, eu não lhe daria dinheiro.
É melhor você não comer demais.	Você não deveria comer demais.
Eu acho que isso não conta.	Eu não acho que isso importe.
Tom está ouvindo seu iPod.	Tom escuta o ipod.
Solidão é independência.	Solitude é independência.
Responda a pergunta.	Tens que responder a essa pergunta.
Você tem que responder à pergunta.	Responda a pergunta.
Responda a pergunta.	Tens de responder à pergunta.
Eu te darei tudo menos isso.	Eu te darei qualquer coisa menos isto.
Tudo o que ele diz é verdade.	Tudo o que ele falou estava certo.
Tudo o que ele falou estava certo.	Tudo que ele diz é correto.
Recebi uma carta em inglês ontem.	Eu recebi uma carta ontem que estava escrita em inglês.
Ela tem olhos bonitos.	Ela tem belos olhos.
Ela viveu por muito tempo.	Ela viveu uma longa vida.
Este filme é somente para adultos.	Apenas adultos podem assistir àquele filme.
Não posso permitir que você faça isso.	Não posso permitir que faças isso.
Há quantos meninos na classe?	Quantos meninos há nessa turma?
Há quantos meninos na classe?	Há quantos meninos nessa classe?
Há quantos meninos na classe?	Quantos meninos tem nesta classe?
Há quantos meninos na classe?	Há quantos garotos na sua turma?
Ensinar é aprender.	Aprende-se ensinando.
Ensinar é aprender.	Ao ensinar, aprendemos.
Ensinar é aprender.	Ensinando aprendemos.
Até quando?	Quando acaba?
Até quando?	Quando isso vai acabar?
Até quando?	Por quanto tempo?
Até quando?	Até que horas?
O que você acha dos Estados Unidos?	Qual é a sua impressão sobre os Estados Unidos?
Por isso ele ficou nervoso.	Foi por essa razão que ele ficou bravo.
Foi por isso que ele ficou com raiva.	Por isso ele ficou nervoso.
Por isso ele ficou nervoso.	Esse é o motivo dele ter ficado com raiva.
O que não trabalha não come.	Quem não trabalha também não tem o direito de comer.
O que não trabalha não come.	Se não se trabalha, não se come.
O que não trabalha não come.	As pessoas que não trabalham não serão alimentadas.
O que não trabalha não come.	Se você não trabalhar, você não pode comer.
Eu vivo aqui.	Eu moro aqui.
Eu moro aqui.	Eu moro neste bairro.
É aqui que eu moro.	Eu moro aqui.
Eu moro aqui.	É ali onde moro.
Eu moro aqui.	Vivo aqui no bairro.
Eu moro aqui.	Moro aqui.
Eu moro aqui.	Eu moro aqui perto.
Eu moro aqui.	Eu moro perto daqui.
Eu moro aqui.	Eu moro aqui agora.
Eu moro aqui.	Moro aqui agora.
Eu moro aqui.	Eu não moro muito longe daqui.
Eu moro aqui.	É ali que moro.
A senhora Thomas nos ensinou história.	A senhorita Thomas nos ensina história.
O velho falou comigo em francês.	O velho conversou comigo em francês.
Se chover amanhã, vamos ficar em casa.	Se chover amanhã, ficarei em casa.
Este é um momento crucial.	Este é um assunto de extrema importância.
Este é um momento extremamente importante.	Este é um assunto de extrema importância.
O meu dinheiro foi roubado.	Roubaram o meu dinheiro.
Você é médico?	Ele é médico?
Você é médico?	Ela é médica?
Você é médico?	Ele é doutor?
Você é médico?	Ele tem doutorado?
Você é médico?	O senhor é médico?
A tua escola é longe da tua casa?	A sua escola fica longe da sua casa?
A sua escola fica longe da sua casa?	A tua escola fica muito longe de onde tu moras?
Você é alto, mas ele ainda é mais alto.	Você é alta, mas ele é ainda mais alto.
Você estava cansada ontem à tarde?	Você estava cansado na noite passada?
Você acredita em fantasmas?	Tu crês em fantasmas?
Você acredita em fantasmas?	Credes em fantasmas?
Você acredita em fantasmas?	Acreditas em fantasmas?
Você acredita em fantasmas?	Acredita em fantasmas?
Você acredita em espíritos?	Você acredita em fantasmas?
Você acredita em fantasmas?	Acreditas na existência de fantasmas?
Quase ninguém acreditava nela.	Quase ninguém acreditou nela.
Quase ninguém acreditava nela.	Quase ninguém acreditou nele.
Quase ninguém acredita nela.	Quase ninguém acreditava nela.
Quase ninguém acreditava nela.	Não havia quase ninguém que acreditasse nela.
Não sei ao certo quando estarei de volta.	Eu não sei direito quando voltarei.
Muito obrigado, doutor.	Muito obrigado, Doutora.
Tinha muito gente no quarto.	Havia muitas pessoas no quarto.
O quarto estava cheio de gente.	Havia muitas pessoas no quarto.
A sala estava cheia de gente.	Havia muitas pessoas no quarto.
O senhor quer vinho?	A senhora quer vinho?
Você quer vinho?	O senhor quer vinho?
O senhor quer vinho?	Vocês querem vinho?
A menina não disse nada.	A moça se calou.
Ela se reconciliou com o amigo.	Ela se reconciliou com a amiga.
No inverno passado, eu fui esquiar no Canadá.	Inverno passado fui esquiar ao Canadá.
Você é o novo assistente?	Você é a nova assistente?
Eles me disseram.	Disseram-me.
Não quero mais falar sobre isso.	Já não quero falar sobre isso.
Ele parece suspeito.	Isso soa duvidoso.
Parece suspeito.	Isso soa duvidoso.
Sorria!	Sorriam!
Continue sorridente.	Sorriam!
Continuem sorridentes.	Sorriam!
Ela está sempre a sorrir.	Sorriam!
Ela sempre está sorrindo.	Sorriam!
Ela está sempre sorridente.	Sorriam!
Esteja sempre sorrindo.	Sorriam!
Ela está sempre sorrindo.	Sorriam!
Sorria, por favor.	Sorriam!
Por favor, sorria!	Sorriam!
Continue sorrindo.	Sorriam!
Ele está sempre rindo.	Sorriam!
Ela sempre sorri.	Sorriam!
Ficarei feliz em te ajudar a qualquer hora.	Eu ficarei feliz em te ajudar qualquer hora dessas.
Ficarei feliz em te ajudar a qualquer hora.	Ficarei feliz em ajudá-lo a qualquer hora.
Quando eu cheguei em casa, eu descobri que tinha perdido minha carteira.	Quando cheguei em casa, percebi que havia perdido a minha carteira.
Como você o conheceu?	Como você veio a conhecê-la?
Como vocês vieram a se conhecer?	Como você veio a conhecê-la?
De onde vocês se conhecem?	Como você veio a conhecê-la?
Como vocês se conheceram?	Como você veio a conhecê-la?
Como vocês dois se conheceram?	Como você veio a conhecê-la?
Como vocês duas se conheceram?	Como você veio a conhecê-la?
Como vocês vieram a conhecer um ao outro?	Como você veio a conhecê-la?
Como você veio a conhecê-la?	Caras, onde vocês se encontraram?
Como vocês a conheceram?	Como você veio a conhecê-la?
Onde você a conheceu?	Como você veio a conhecê-la?
Como se conheceram um ao outro?	Como você veio a conhecê-la?
Como você veio a conhecê-la?	Como travaram conhecimento um com outro?
Como você veio a conhecê-la?	Como é que a conheceste?
Parabéns pelo seu aniversário, Muriel!	Feliz aniversário, Muiriel!
Muriel tem 20 anos agora.	Muriel completou 20 anos.
Muriel completou 20 anos.	Muiriel tem vinte anos de idade.
Muriel acabou de fazer vinte anos.	Muriel completou 20 anos.
A Muriel está com 20 anos agora.	Muriel completou 20 anos.
A Muiriel fez 20 anos agora.	Muriel completou 20 anos.
Muriel fez vinte anos.	Muriel completou 20 anos.
Isso vai custar €30.	Vai custar €30.
Vai custar €30.	Vai custar 30 euros.
Vai custar €30.	Vai custar trinta euros.
Nunca gostei de biologia.	Nunca curti biologia.
É verdade, infelizmente.	Infelizmente é verdade.
É verdade, infelizmente.	Infelizmente, isso é verdade.
É verdade, infelizmente.	Isso pode ser lamentável, mas é verdade.
Isso é o que eu sempre disse.	Esta frase é minha.
Isso é o que eu sempre disse.	Essa é a minha resposta!
Isso é o que eu sempre disse.	Essa é minha resposta.
Olha, uma borboleta!	Oh, ali está uma borboleta!
Uma borboleta!	Oh, ali está uma borboleta!
Eu sou muito gordo.	Estou tão gorda.
Estou tão gordo.	Estou tão gorda.
Eu sou tão gordo.	Estou tão gorda.
Sou muito gordo.	Estou tão gorda.
Eu sou gordo demais.	Estou tão gorda.
Sou muito gorda.	Estou tão gorda.
Estou muito gordo.	Estou tão gorda.
Eu só estou falando.	Só estou dizendo.
Eu odeio química.	Detesto química.
Não subestime meu poder.	Não subestimem a minha força!
Não subestime meu poder.	Não subestime a minha força.
Não subestime meu poder.	Não subestimes o meu poder.
Não subestime meu poder.	Não subestimes minha força.
Não subestime meu poder.	Não subestime, senhora, o meu poder.
Não subestime meu poder.	Não subestimem o meu poder, senhoras.
Não subestime meu poder.	Não subestimem, senhores, a minha força.
Ninguém me entende.	Ninguém me compreende.
Ninguém me entende.	Ninguém pode entendê-lo.
Ninguém me entende.	Ninguém entendeu.
Ninguém me entende.	Ninguém me aceita como eu sou.
Você é um anjo!	Tu és um anjo!
Você sentiu a minha falta?	Sentiu saudades de mim?
Você sentiu a minha falta?	Estás com saudade de mim?
Você está com saudades de mim?	Você sentiu a minha falta?
Você sentiu a minha falta?	Você sente saudades minhas?
Você sentiu a minha falta?	Sentiste minha falta?
Você sentiu a minha falta?	Sentiu minha falta?
Você sentiu a minha falta?	Sentistes saudades minhas?
Você sentiu a minha falta?	O senhor sentiu minha falta?
Você sentiu a minha falta?	A senhora sentiu saudades minhas?
Você sentiu a minha falta?	Tiveram saudades minhas?
Você sentiu a minha falta?	Os senhores sentiram minha falta?
Eles são cristãos.	Elas são cristãs.
Você é casado ou solteiro?	Ela é solteira ou casada?
Não, eu não, você!	Não, eu não sou. Você que é!
Não sou eu, é você!	Não, eu não sou. Você que é!
Não, não sou eu, mas você!	Não, eu não sou. Você que é!
Não sou, não; você que é!	Não, eu não sou. Você que é!
Não, eu não sou; você é!	Não, eu não sou. Você que é!
Não, eu não estou; você está!	Não, eu não sou. Você que é!
Onde estão os ovos, por favor?	Sinto muito, mas onde estão os ovos?
Com licença, onde estão os ovos?	Onde estão os ovos, por favor?
Lavar, cortar e secar, por favor.	Corte, lave e seque, por favor.
Você está cansado, não é?	Eles estão cansados, não estão?
Você não está cansado?	Caras, não se sentem sonolentos?
Você não está cansado?	Você não quer dormir?
Não está com sono?	Você não está cansado?
Você não está cansado?	Tu não estás com sono?
Você não está cansado?	Vós não estais com sono?
Você não está cansado?	Os senhores não estão com sono?
Você precisa cortar o cabelo.	Seus cabelos precisam de um corte.
Por que você não corta o cabelo?	Seus cabelos precisam de um corte.
Seus cabelos precisam de um corte.	Vá à barbearia.
Você precisa de um corte de cabelo.	Seus cabelos precisam de um corte.
Seus cabelos precisam de um corte.	Vá ao barbeiro.
Corta o cabelo.	Seus cabelos precisam de um corte.
Corte o cabelo.	Seus cabelos precisam de um corte.
Você está pálido hoje.	Você parece pálido hoje.
Você gosta de música?	Você ama música?
Você ama música?	Vocês gostam de música?
Você ama música?	Você aprecia a música?
Você estuda inglês?	Vocês estudam inglês?
Você vai aprender inglês?	Você estuda inglês?
Você sabe nadar, não é?	Vocês sabem nadar, não sabem?
Você sabe nadar, não é?	Você sabe nadar?
Você sabe nadar, não é?	Sabes nadar?
Você sabe nadar, não é?	Sabe nadar?
Como você é vulgar!	Que grosseria de sua parte!
Você é bem rude, não é?	Que grosseria de sua parte!
Que grosseria de sua parte!	Você é muito grosseiro.
Você quer alguma coisa?	Você deseja alguma coisa?
Você quer alguma coisa?	Você deseja algo?
Quer alguma coisa?	Você quer alguma coisa?
Você quer alguma coisa?	Você queria alguma coisa?
Qual você escolhe?	Qual escolherás?
Qual você escolhe?	Qual vocês escolherão?
Qual você escolhe?	Qual você escolherá?
Você tem muitos livros.	Ele tem livros demais.
Você tem um?	Você tem uma?
Você tem um?	Vocês têm um?
Você tem um?	Vocês têm uma?
Você não é um espião, não é?	Você não é uma espiã, é?
Você sempre me critica.	Você está sempre me criticando!
Onde estão seus olhos?	Onde se encontram seus olhos?
Qual é o seu real objetivo?	Qual é o seu verdadeiro propósito?
Qual é o seu real objetivo?	Qual é seu verdadeiro objetivo?
Sua resposta está errada.	Sua resposta está incorreta.
É o seu filho, Betty?	Betty, este é o seu filho?
Espero a sua ajuda.	Estou contando com sua ajuda.
Espero a sua ajuda.	Estou contando com tua ajuda.
Espero a sua ajuda.	Eu estou esperando você para me ajudar.
Sentirei falta da sua comida.	Ficarei com saudades de seus pratos.
Eu vou sentir falta do jeito que você cozinha.	Sentirei falta da sua comida.
Seu relógio está certo?	O seu relógio está correto?
Onde estão suas coisas?	Onde está seu casaco?
Onde estão suas coisas?	Onde estão suas roupas?
Onde estão suas coisas?	Onde está o seu casaco?
Escolha a raquete que você mais gosta.	Escolhe a sua raquete preferida.
Onde é a sua escola?	Onde fica sua escola?
A que escola você vai?	Onde fica sua escola?
Onde fica sua escola?	Qual escola você frequenta?
Vou estudar o seu relatório.	Estudarei seu relatório.
Seu plano parece ser bom.	O teu plano parece ótimo.
Seu plano parece ser bom.	Seu plano me parece excelente.
Seu plano parece ser bom.	Seu plano é excelente.
Você merece um prêmio.	Ele merece o prêmio.
Eu aprendi de você.	Aprendi isso de você!
Aprendi isso de você!	Eu aprendi isso contigo.
Sem ar, não há vida.	Sem ar, nada poderia viver.
Se não há ar, não se pode viver.	Sem ar, nada poderia viver.
Sem ar não é possível viver.	Sem ar, nada poderia viver.
É tão doloroso. Pare!	Dói tanto. Pare com isso!
Isso dói muito. Para!	Dói tanto. Pare com isso!
Sentindo o perigo, ele foi embora.	Pressentindo o perigo, ele fugiu.
Na França, país onde nasceu, Tatoeba se tornou um fenômeno social e cultural.	No seu país de origem, a França, a Tatoeba virou um fenómeno cultural e social.
No seu país de origem, a França, a Tatoeba virou um fenómeno cultural e social.	Na França, onde se fundou, Tatoeba converteu-se em um fenômeno cultural e social.
Na França, seu local de nascimento, o Tatoeba se tornou um fenômeno cultural e social.	No seu país de origem, a França, a Tatoeba virou um fenómeno cultural e social.
Ninguém me ama.	Ninguém se preocupa comigo.
Ninguém me ama.	Ninguém se importa comigo.
Ninguém me ama.	Ninguém gosta de mim.
Esta água não é potável.	A água não é bebível.
Não beba essa água.	Esta água não é potável.
Não beba esta água!	Esta água não é potável.
Não beba a água!	Esta água não é potável.
Não na minha mesa!	Na minha mesa, não!
Meu pai disse não.	Meu papai disse não.
Não posso.	Não posso fazer isso.
Não posso fazer isso.	De modo algum farei isso.
Não posso fazer isso.	Isso é impossível para mim.
Não posso fazer isso.	Não posso fazer isto.
Eu não posso.	Não posso fazer isso.
Eu não o faria.	Não posso fazer isso.
Eu não teria feito.	Não posso fazer isso.
Eu não o teria feito.	Não posso fazer isso.
Não consigo!	Não posso fazer isso.
Não posso fazer isso.	Eu não consigo fazer isso.
Não posso fazer isso.	Eu não terminei.
Não terminei.	Não posso fazer isso.
Não posso fazer isso.	Eu não sou capaz de fazer isso.
Inglês é muito difícil, não é?	O inglês é dificil, né?
Eu prefiro ir nadar.	Prefiro ir nadar.
"Não sei", disse Antônio.	Tom disse que não sabia.
"Não sei", disse Antônio.	"Eu não sei", disse Tony.
"Não sei", disse Antônio.	Tom disse que ele não sabe.
Uma, duas, meia e já!	Nas suas marcas. Preparar. Já!
Nas suas marcas. Preparar. Já!	Preparar... apontar... fogo!
Um, dois, três, vai!	Nas suas marcas. Preparar. Já!
E aí, John, como vai?	Oi, John! Como vai?
